latitude,longitude,id,name,docks
40.775793,-73.976205,motivate_BKN_66dd4ccc-0aca-11e7-82f6-3863bb44ef7c,Central Park West & W 72 St,50
40.72577,-73.94173,motivate_BKN_457ea5d7-d643-4028-87db-46dee0b81555,Kingsland Ave & Nassau Ave,21
40.707677,-73.940161,motivate_BKN_66dce8db-0aca-11e7-82f6-3863bb44ef7c,Montrose Ave & Bushwick Ave,39
40.74091,-73.90273,motivate_BKN_f5393bc2-36d4-4508-bf51-fa48d121f751,61 St & Queens Blvd,23
40.64269,-73.96099,motivate_BKN_1814907590556515014,Cortelyou Rd & E 19 St,18
40.67738,-73.90829,motivate_BKN_cf1a96a7-f695-4ba2-bcf2-899552e21e47,Herkimer St & Eastern Pkwy,13
40.82188,-73.907521,motivate_BKN_493850bd-125b-49f5-932b-bf999504fb06,Cauldwell Ave & E 161 St,8
40.677728,-73.993641,motivate_BKN_66de2b2f-0aca-11e7-82f6-3863bb44ef7c,3 St & Hoyt St,45
40.749717,-74.00295,motivate_BKN_66dbe96d-0aca-11e7-82f6-3863bb44ef7c,W 26 St & 10 Ave,45
40.843079,-73.900216,motivate_BKN_44c23eaa-7ddf-40b3-8373-6f3880c5e1b1,Washington Ave & E 174 St,18
40.731724,-74.006744,motivate_BKN_66db2a71-0aca-11e7-82f6-3863bb44ef7c,Barrow St & Hudson St,38
40.861698,-73.918557,motivate_BKN_fbaffdbd-dab5-4127-9bd5-36bf58093ea8,9 Ave & W 204 St,22
40.833246,-73.896599,motivate_BKN_6fab98b7-b06a-49d8-a4d1-087ffce0ebcf,Boston Rd & Prospect Ave,6
40.72323,-74.00314,motivate_BKN_7d5fa1f0-4069-4d5d-b735-5d500597394a,West Broadway & Watts St,32
40.777057,-73.978984,motivate_BKN_66dd4c5f-0aca-11e7-82f6-3863bb44ef7c,Columbus Ave & W 72 St,57
40.69794,-73.969868,motivate_BKN_66dba303-0aca-11e7-82f6-3863bb44ef7c,Clinton Ave & Flushing Ave,22
40.81014,-73.93973,motivate_BKN_dad39e68-53f5-47c2-87e2-b1cc0e34f90f,5 Ave & W 131 St,17
40.761573,-73.972628,motivate_BKN_6fd61eee-d0ef-4580-9704-bd06b82bcb61,E 56 St & Madison Ave,20
40.764718,-73.96222,motivate_BKN_66de2707-0aca-11e7-82f6-3863bb44ef7c,E 65 St & 2 Ave,24
40.762813,-73.934286,motivate_BKN_0fa27bd7-b182-4e7a-b5bb-90f4249cb368,34 Ave & 21 St,20
40.70461,-73.91054,motivate_BKN_e9b3a725-6963-4151-8f7f-9beeb51fa20f,Menahan St & Seneca Ave,11
40.86294,-73.90108,motivate_BKN_b4f990dd-36bb-46b3-9eea-4b980bd43c2d,Jerome Ave & W Fordham Rd,23
40.797372,-73.970411,motivate_BKN_66de17f7-0aca-11e7-82f6-3863bb44ef7c,W 100 St & Broadway,36
40.663779,-73.983968,motivate_BKN_66ddec3e-0aca-11e7-82f6-3863bb44ef7c,14 St & 7 Ave,17
40.823498,-73.94386,motivate_BKN_0ddb965d-95ef-4ce3-bde6-81a56ac1fbd2,Edgecombe Ave & W 145 St,24
40.773015,-73.91119,motivate_BKN_b79c8433-9dd1-4d68-9156-7f2c2162bafe,35 St & 23 Ave,25
40.72403,-73.90853,motivate_BKN_7a1ad7c0-4958-4354-91a1-11bf13348abd,56 Dr & 59 St,16
40.848177,-73.916082,motivate_BKN_ca843847-923a-40b7-80ca-c1c3fff6e818,Macombs Rd & W 175 St,14
40.66034,-73.93618,motivate_BKN_cd2d9dab-7708-4685-a56f-9412c738de7e,Rutland Rd & E 45 St,23
40.71693,-73.90198,motivate_BKN_ca5cc034-a95d-446e-8314-6691589886b1,60 Ave & Fresh Pond Rd,11
40.66026,-73.96045,motivate_BKN_4e9a1c3a-20e2-4fd5-b8de-fbf8d43e7bcc,Maple St & Flatbush Ave,18
